term,estimate,std_error,statistic,p_value,name,n,estimate_for_ranking,Rank
x107,-0.10382291019709335,1.9663520608128071,-0.05279975659810244,0.9578914554383849,工藤紀夫,8,-3.977536469998323,208
x133,-0.10651102198968912,1.9725913585869663,-0.05399548240239,0.9569387635134816,望月研一,8,-3.9925159984060126,209
x252,0.5147862490236682,2.3106450510162553,0.22278897782126153,0.8236997468542484,西村慶二,2,-4.037184501478355,210
x247,0.014872468456455594,2.0574119007806257,0.007228726756568611,0.9942323607575567,蕭正浩,7,-4.038228976081378,211
x163,0.0693552542436687,2.0959382686893293,0.03309031343133937,0.9736025672832896,李聖宰,7,-4.05964313507431,212
x207,-0.20144210559236345,1.9711374782482698,-0.10219586802813116,0.9186012074213386,瀬戸大樹,8,-4.084582937741455,213
x80,-0.7841829884018496,1.681014227792455,-0.46649396265471,0.6408619680493468,宋容慧,18,-4.095781017152985,214
x279,0.07592144348176405,2.1191898982646045,0.03582569147952989,0.9714213473747801,金東燁,5,-4.098882656099506,215
x245,0.21185331930679305,2.1928224873655897,0.09661216105153551,0.9230343985535752,董彦,5,-4.1080069808034185,216
x254,-0.5613221511425058,1.8040030326746985,-0.3111536627021428,0.7556838074819638,謝依旻,24,-4.115208125511662,217
x55,-0.3445759450108312,1.91784118332061,-0.17966865453072695,0.8574127030078236,坂井秀至,16,-4.1227230761524325,218
x7,-0.17845342709125492,2.0133742801208965,-0.08863400553648643,0.9293727819204873,上村陽生,5,-4.144800758929421,219
x12,0.16970392881538968,2.192262101372871,0.07741041945172303,0.9382970521327012,久保秀夫,3,-4.1490524108891655,220
x173,-0.4599471279347907,1.8782295120312926,-0.24488334625163086,0.8065467569270603,林海峰,16,-4.160059266636437,221
x221,-0.3926394927048823,1.9210588072622663,-0.20438702408305737,0.8380510694480263,王祥雲,8,-4.177125343011547,222
x232,0.6815262847471112,2.4744559210056214,0.27542470203718084,0.7829899682106498,石田章,2,-4.193151879633963,223
x13,0.46415517861433964,2.3677708631657235,0.19603044611916604,0.8445863357367805,井口豊秀,2,-4.200353421822136,224
x144,-0.6705193162746651,1.7938119004016395,-0.373795778768406,0.708556260283647,朴鋕恩,16,-4.204328760065895,225
x286,0.057587648607840734,2.1690285011259522,0.026549973215172936,0.9788186747676111,鈴木嘉倫,3,-4.215398498610285,226
x185,0.2878569181692896,2.2993912899971414,0.1251883137165608,0.900374468763327,楊嘉栄,2,-4.241943923125079,227
x215,0.13208022028717692,2.2227841003532123,0.05942107479812757,0.9526167274545538,王幼俠,5,-4.246804457408651,228
x174,-0.15113491324176567,2.0834923661855784,-0.07253922101882276,0.9421727938057729,林漢傑,7,-4.255614874627355,229
x79,-0.3175300018802249,2.00103563551903,-0.15868283215149426,0.8739187647430671,安藤和繁,8,-4.259570203852714,230
x233,-0.6204389481675391,1.8947718768749469,-0.3274478346125925,0.7433291919434445,石田芳夫,12,-4.353139545611184,231
x101,-0.24771528432478107,2.106254686263836,-0.11760936886706183,0.906377181188866,山田規喜,5,-4.397037016264537,232
x82,-0.137423243418744,2.173720657045883,-0.063220286826323,0.9495910905403177,宮沢吾朗,3,-4.419652937799134,233
x36,-0.5781429570226337,1.9514206902409759,-0.29626771916169464,0.7670256362838483,加藤充志,12,-4.422441716797357,234
x124,-0.10533879155348047,2.1937873453234102,-0.04801686534387011,0.9617028015095063,徐能旭,4,-4.427099861840598,235
x69,-0.32165128014894323,2.088705798043605,-0.15399549350139174,0.8776132888663704,孔令文,5,-4.436401702294845,236
x58,-0.7609220359766747,1.893202079100257,-0.40192330463650366,0.6877404710831649,大橋成哉,14,-4.490530131804181,237
x287,-1.0397326151864428,1.7938079064299677,-0.5796231644756858,0.5621687683260941,鈴木歩,26,-4.573534190853479,238
x99,-0.4569419769546207,2.1178288838104833,-0.21575963027403433,0.8291751174878725,山田晋次,5,-4.629064878061273,239
x52,-1.044283285963108,1.8524746673287287,-0.5637233827704462,0.5729424014357007,唐奕,13,-4.693658380600704,240
